1A10AH;Arkitektur
1A10AX;Arkitektur
1A10BA;Arkitektur
1A10BF;Arkitektur
1A10BL;Arkitektur
1A10FL;Arkitektur
1A10HB;Arkitektur
1A10HX;Arkitektur
1A10HX;Samhällsbyggnad
1A10KA;Arkitektur
1A10KA;Teknik
1A10KL;Arkitektur
1A10PM;Arkitektur
1A10SB;Arkitektur
1A10SS;Arkitektur
1B1010;Samhällsbyggnad
1B1011;Samhällsbyggnad
1B1012;Samhällsbyggnad
1B1013;Samhällsbyggnad
1B1014;Samhällsbyggnad
1B1017;Samhällsbyggnad
1B1018;Samhällsbyggnad
1B1019;Samhällsbyggnad
1C1004;Samhällsbyggnad
1C1005;Samhällsbyggnad
1C1006;Samhällsbyggnad
1C1007;Samhällsbyggnad
1C1008;Teknik
1D1011;Samhällsbyggnad
1D1012;Samhällsbyggnad
1D1013;Samhällsbyggnad
1E1005;Samhällsbyggnad
1F1006;Samhällsbyggnad
1F1024;Samhällsbyggnad
1H1004;Samhällsbyggnad
1H1005;Samhällsbyggnad
1H1006;Samhällsbyggnad
1H1007;Samhällsbyggnad
1H1008;Samhällsbyggnad
1N1001;Samhällsbyggnad
1N1002;Samhällsbyggnad
1N1004;Samhällsbyggnad
1N1006;Teknik
1N1007;Industriell ekonomi
1N1009;Samhällsbyggnad
2A1001;Elektroteknik
2A1005;Elektroteknik
2A1006;Elektroteknik
2A1010;Elektroteknik
2A1011;Elektroteknik
2A1015;Elektroteknik
2A1016;Elektroteknik
2A1997;Elektroteknik
2A1997;Teknik
2A1998;Elektroteknik
2A1999;Elektroteknik
2B1008;Fysik
2B1012;Elektroteknik
2B1013;Elektroteknik
2B1014;Elektroteknik
2B1015;Elektroteknik
2B1016;Elektroteknik
2B1017;Elektroteknik
2B1018;Elektroteknik
2B1840;Fysik
2C1001;Elektroteknik
2C1002;Elektroteknik
2C1003;Elektroteknik
2C1004;Elektroteknik
2C1011;Elektroteknik
2C1012;Elektroteknik
2C1013;Elektroteknik
2C1014;Elektroteknik
2D1020;Matematik
2D1021;Informationsteknik
2D1024;Informationsteknik
2D1025;Informationsteknik
2D1043;Teknik
2D2000;Teknik
2E1001;Elektroteknik
2E1002;Elektroteknik
2E1003;Elektroteknik
2E1006;Elektroteknik
2E1011;Elektroteknik
2E1012;Elektroteknik
2E1013;Elektroteknik
2E1015;Elektroteknik
2E1016;Elektroteknik
2E1018;Elektroteknik
2E1039;Teknik
2F1005;Elektroteknik
2F1012;Elektroteknik
2F1014;Elektroteknik
2F1015;Elektroteknik
2F1017;Informationsteknik
2F1018;Informationsteknik
2G1010;Elektroteknik
2G1011;Elektroteknik
2G1021;Elektroteknik
2G1022;Informationsteknik
2G1090;Teknik
2H1020;Elektroteknik
2I1020;Informationsteknik
2I1023;Teknik
2U1003;Elektroteknik
3A1001;Kemi och kemiteknik
3A1002;Kemi och kemiteknik
3A1003;Kemi och kemiteknik
3A1011;Bioteknik
3A1012;Bioteknik
3A1013;Bioteknik
3A1014;Bioteknik
3A1015;Bioteknik
3A1016;Bioteknik
3A1017;Bioteknik
3A1018;Bioteknik
3A1018;Teknik
3A1030;Bioteknik
3B1005;Kemi och kemiteknik
3B1011;Kemi och kemiteknik
3B1012;Kemi och kemiteknik
3B1013;Kemi och kemiteknik
3B1014;Kemi och kemiteknik
3B1015;Kemi och kemiteknik
3B1017;Kemi och kemiteknik
3B1020;Teknik
3B1023;Teknik
3C1002;Kemi och kemiteknik
3C1012;Kemi och kemiteknik
3C1014;Kemi och kemiteknik
3D1001;Kemi och kemiteknik
3D1003;Kemi och kemiteknik
3D1008;Kemi och kemiteknik
3D1011;Kemi och kemiteknik
3E1001;Kemi och kemiteknik
3E1010;Teknik
3E1011;Teknik
3E1012;Teknik
4A1012;Maskinteknik
4A1014;Maskinteknik
4A1016;Maskinteknik
4B1000;Maskinteknik
4B1015;Maskinteknik
4B1016;Maskinteknik
4B1017;Maskinteknik
4C1001;Maskinteknik
4C1002;Maskinteknik
